5557	47+573	0	57840	1	24492at314147|contig_43715_pilon|+|135|3.311e-33|1|47|619|47[47]:619[619]:573[573]
5557	891+582	0	97643	1	29010at314147|contig_43715_pilon|+|137|8.277e-34|1|891|1472|891[891]:1472[1472]:582[582]
5731	38+240	0	100862	1	42968at314147|contig_35245_pilon|+|54|8.005e-09|1|38|277|38[38]:277[277]:240[240]
5756	861+592	0	20937	1	31788at314147|contig_45609_pilon|+|271|3.8e-74|2|861|1452|861[861]:1403[1403]:543[543]|1405[1405]:1452[1452]:48[48]
2788	1146-975	0	97990	-1	24565at314147|contig_28042_pilon|-|155|3.157e-39|1|172|1146|1146[1146]:172[172]:975[975]
2932	401981+474	0	13458	1	11219at314147|NW_025965276.1_RagTag|+|136|1.655e-33|1|401981|402454|401981[401981]:402454[402454]:474[474]
2932	697493-1302	0	43585	-1	15872at314147|NW_025965276.1_RagTag|-|746|3.896e-217|1|696192|697493|697493[697493]:696192[696192]:1302[1302]
2932	417282+702	0	49496	1	20158at314147|NW_025965276.1_RagTag|+|226|1.337e-60|1|417282|417983|417282[417282]:417983[417983]:702[702]
2932	28641+1068	0	55761	1	20418at314147|NW_025965276.1_RagTag|+|672|7.359e-195|1|28641|29708|28641[28641]:29708[29708]:1068[1068]
2932	458759-996	0	88424	-1	18857at314147|NW_025965276.1_RagTag|-|636|5.057e-184|1|457764|458759|458759[458759]:457764[457764]:996[996]
2933	1600744+500	0	45462	1	38096at314147|NW_025965311.1_RagTag|+|172|2.409e-44|5|1600744|1601243|1600744[1600744]:1600863[1600863]:120[120]|1600929[1600929]:1600979[1600979]:51[51]|1600991[1600991]:1601080[1601080]:90[90]|1601113[1601113]:1601202[1601202]:90[90]|1601205[1601205]:1601243[1601243]:39[39]
2933	1114928-116837	0	83527	-1	35742at314147|NW_025965311.1_RagTag|-|95|3.64e-21|3|998092|1114928|1114928[1114928]:1114812[1114812]:117[117]|998665[998665]:998504[998504]:162[162]|998232[998229]:998092[998092]:141[138]
2933	842108+442	0	93180	1	36575at314147|NW_025965311.1_RagTag|+|97|9.1e-22|3|842108|842549|842108[842108]:842209[842209]:102[102]|842318[842318]:842365[842365]:48[48]|842394[842394]:842549[842549]:156[156]
4097	733983+4296	0	6283	1	14376at314147|NW_025965099.1_RagTag|+|348|2.515e-97|5|733983|738278|733983[733983]:734096[734096]:114[114]|735871[735871]:736014[736014]:144[144]|736765[736765]:736881[736881]:117[117]|736968[736977]:737153[737153]:186[177]|738141[738141]:738278[738278]:138[138]
4097	700093+171	0	12930	1	42783at314147|NW_025965099.1_RagTag|+|38|0.0005246|1|700093|700263|700093[700093]:700263[700263]:171[171]
4097	518531+153	0	13907	1	34707at314147|NW_025965099.1_RagTag|+|106|1.777e-24|1|518531|518683|518531[518531]:518683[518683]:153[153]
4097	15123+912	0	57213	1	8471at314147|NW_025965099.1_RagTag|+|212|2.191e-56|1|15123|16034|15123[15123]:16034[16034]:912[912]
4097	841088-31913	0	60694	-1	43736at314147|NW_025965099.1_RagTag|-|43|1.639e-05|2|809176|841088|841088[841088]:841050[841050]:39[39]|809289[809289]:809176[809176]:114[114]
4098	825903-3914	0	10649	-1	24086at314147|NW_025965137.1_RagTag|-|288|2.899e-79|5|821990|825903|825903[825903]:825757[825757]:147[147]|824798[824798]:824691[824691]:108[108]|823989[823980]:823729[823729]:261[252]|823207[823204]:823046[823046]:162[159]|822145[822145]:821990[821990]:156[156]
4098	707630-795	0	25085	-1	27413at314147|NW_025965137.1_RagTag|-|68|4.886e-13|1|706836|707630|707630[707630]:706836[706836]:795[795]
4098	1613711-4412	0	43771	-1	23828at314147|NW_025965137.1_RagTag|-|358|2.456e-100|3|1609300|1613711|1613711[1613711]:1613532[1613532]:180[180]|1611591[1611588]:1611361[1611361]:231[228]|1609713[1609713]:1609300[1609300]:414[414]
4098	1693914-732	0	59349	-1	37432at314147|NW_025965137.1_RagTag|-|197|7.179e-52|1|1693183|1693914|1693914[1693914]:1693183[1693183]:732[732]
4098	4684-993	0	92106	-1	6562at314147|NW_025965137.1_RagTag|-|630|3.236e-182|1|3692|4684|4684[4684]:3692[3692]:993[993]
4098	601373+549	0	104387	1	36411at314147|NW_025965137.1_RagTag|+|177|7.527e-46|1|601373|601921|601373[601373]:601921[601921]:549[549]
3076	2179-1839	0	27572	-1	9078at314147|contig_6705_pilon|-|391|2.859e-110|1|341|2179|2179[2179]:341[341]:1839[1839]
3077	774-717	0	31879	-1	27403at314147|contig_67641_pilon|-|177|7.527e-46|1|58|774|774[774]:58[58]:717[717]
3347	1297-724	0	2624	-1	32611at314147|contig_17327_pilon|-|287|5.799e-79|2|574|1297|1297[1297]:935[935]:363[363]|930[930]:574[574]:357[357]
1	291023-349	0	17420	-1	42842at314147|NW_025965040.1_RagTag|-|130|1.059e-31|2|290675|291023|291023[291023]:290925[290925]:99[99]|290854[290854]:290675[290675]:180[180]
1	42873+2632	0	19232	1	7047at314147|NW_025965040.1_RagTag|+|1240|0|2|42873|45504|42873[42873]:44138[44138]:1266[1266]|44149[44149]:45504[45504]:1356[1356]
1	265376-240	0	82033	-1	40470at314147|NW_025965040.1_RagTag|-|57|1.001e-09|1|265137|265376|265376[265376]:265137[265137]:240[240]
1	266331-237	0	102871	-1	40470at314147|NW_025965040.1_RagTag|-|63|1.563e-11|1|266095|266331|266331[266331]:266095[266095]:237[237]
2	723535-409	0	3413	-1	6154at314147|NW_025965074.1_RagTag|-|131|5.297e-32|2|723127|723535|723535[723535]:723422[723422]:114[114]|723375[723375]:723127[723127]:249[249]
2	840808+2219	0	5409	1	16125at314147|NW_025965074.1_RagTag|+|273|9.501e-75|3|840808|843026|840808[840808]:841197[841197]:390[390]|841301[841301]:841501[841501]:201[201]|842655[842658]:843026[843026]:372[369]
2	19220-138	0	27710	-1	45115at314147|NW_025965074.1_RagTag|-|46|2.049e-06|1|19083|19220|19220[19220]:19083[19083]:138[138]
2	879831-2234	0	49866	-1	12016at314147|NW_025965074.1_RagTag|-|594|2.224e-171|6|877598|879831|879831[879831]:879727[879727]:105[105]|879478[879475]:879332[879332]:147[144]|879245[879245]:879081[879081]:165[165]|878510[878510]:878409[878409]:102[102]|878210[878201]:878025[878025]:186[177]|877792[877789]:877598[877598]:195[192]
2	277603+5816	0	52264	1	18857at314147|NW_025965074.1_RagTag|+|613|4.242e-177|7|277603|283418|277603[277603]:277662[277662]:60[60]|279409[279409]:279477[279477]:69[69]|279573[279573]:279719[279719]:147[147]|280668[280668]:280781[280781]:114[114]|281439[281439]:281636[281636]:198[198]|282484[282484]:282828[282828]:345[345]|283350[283350]:283418[283418]:69[69]
2	13908-1411	0	65779	-1	22131at314147|NW_025965074.1_RagTag|-|595|1.112e-171|2|12498|13908|13908[13908]:13846[13846]:63[63]|13268[13268]:12498[12498]:771[771]
2	847643-293	0	94738	-1	29608at314147|NW_025965074.1_RagTag|-|136|1.655e-33|2|847351|847643|847643[847643]:847584[847584]:60[60]|847518[847512]:847351[847351]:168[162]
2	93127+1819	0	107625	1	31475at314147|NW_025965074.1_RagTag|+|185|2.94e-48|4|93127|94945|93127[93127]:93378[93378]:252[252]|93745[93751]:93873[93873]:129[123]|93950[93950]:94042[94042]:93[93]|94838[94838]:94945[94945]:108[108]
